Code,Regions-2016,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
11,Île-de-France,75729,888586,895989,908417,914021,935397,962872,961855,975590,1021741,1057220
24,Centre-Val de Loire,9270,110196,108871,108181,111973,111812,118954,118883,126510,130471,140188
27,Bourgogne et Franche-Comté,9560,110936,109310,110638,113002,110550,117863,121979,127271,129671,135772
28,Normandie,11675,142525,146024,151505,155075,157444,162376,166537,170470,173518,176528
32,Nord-Pas-de-Calais et Picardie,26795,330585,332807,340384,346629,348718,357215,353969,360871,381149,399900
44,"Alsace, Champagne-Ardenne et Lorraine",20916,245816,248594,258643,263131,270232,280714,293166,292180,311396,325723
52,Pays de la Loire,12829,147330,146502,147976,151792,150738,156219,162329,163271,172753,175647
53,Bretagne,10503,117801,118273,120650,119126,123715,127627,131584,132164,137926,141316
75,"Aquitaine, Limousin et Poitou-Charentes",20372,252251,252223,258792,256537,256304,266341,277561,276009,281769,289279
76,Languedoc-Roussillon et Midi-Pyrénées,25556,315225,314450,318746,318479,316547,325965,323214,330226,338269,343816
84,Auvergne et Rhône-Alpes,33285,379646,381815,394085,397513,394030,419762,426500,433010,449514,461140
93,Provence-Alpes-Côte d'Azur,30149,378426,377977,388757,396557,399065,413892,423152,420712,426263,444043
94,Corse,1212,15225,14626,14026,14037,14278,14165,13422,15112,16799,17239
