Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"447,694","483,342","527,395","243,392","143,864","1,845,687"
72,Aquitaine,"728,896","768,672","895,332","500,042","339,410","3,232,352"
83,Auvergne,"295,697","307,312","378,312","217,297","148,769","1,347,387"
25,Basse-Normandie,"355,950","340,551","403,675","222,035","151,283","1,473,494"
26,Bourgogne,"373,828","373,724","454,739","260,831","178,993","1,642,115"
53,Bretagne,"777,642","762,660","863,756","478,800","316,208","3,199,066"
24,Centre,"613,259","598,568","697,229","381,820","257,189","2,548,065"
21,Champagne-Ardenne,"327,038","330,916","368,259","189,828","119,882","1,335,923"
94,Corse,"64,870","74,478","88,294","51,244","30,807","309,693"
43,Franche-Comté,"290,711","289,804","317,295","169,068","104,885","1,171,763"
23,Haute-Normandie,"471,755","463,838","501,679","247,604","152,078","1,836,954"
11,Île-de-France,"3,056,145","3,502,425","3,125,251","1,341,662","760,751","11,786,234"
91,Languedoc-Roussillon,"614,422","619,888","709,633","421,307","271,100","2,636,350"
74,Limousin,"152,799","162,201","205,375","125,623","96,773","742,771"
41,Lorraine,"558,344","601,215","661,241","327,207","202,913","2,350,920"
73,Midi-Pyrénées,"655,955","705,384","789,655","429,438","301,324","2,881,756"
31,Nord - Pas-de-Calais,"1,089,451","1,081,795","1,066,016","497,225","303,670","4,038,157"
52,Pays de la Loire,"910,199","883,393","951,867","497,499","328,537","3,571,495"
22,Picardie,"501,336","486,224","527,970","250,511","148,803","1,914,844"
54,Poitou-Charentes,"397,865","399,574","487,864","285,689","199,371","1,770,363"
93,Provence-Alpes-Côte d'Azur,"1,136,230","1,160,822","1,324,341","774,758","503,004","4,899,155"
82,Rhône-Alpes,"1,586,506","1,617,267","1,664,381","846,052","516,485","6,230,691"
