Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,433,058","1,633,330","1,281,655","722,298","282,736","5,353,077"
75,Aquitaine-Limousin-Poitou-Charentes,"1,216,110","1,433,995","1,263,882","868,502","409,457","5,191,946"
84,Auvergne-Rhône-Alpes,"1,787,159","2,017,877","1,679,231","943,857","409,198","6,837,322"
27,Bourgogne-Franche-Comté,"703,961","767,783","659,494","409,610","186,201","2,727,049"
53,Bretagne,"735,549","805,794","665,278","449,124","184,935","2,840,680"
24,Centre-Val de Loire,"620,157","682,457","582,591","360,623","172,487","2,418,315"
94,Corse,"60,345","72,456","65,309","41,655","18,651","258,416"
11,Île-de-France,"2,872,214","3,572,230","2,723,589","1,164,004","526,938","10,858,975"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,102,953","1,325,724","1,137,042","777,207","360,914","4,703,840"
32,Nord-Pas-de-Calais-Picardie,"1,729,346","1,737,663","1,330,407","752,924","282,156","5,832,496"
28,Normandie,"884,206","927,912","746,495","437,934","182,803","3,179,350"
52,Pays de la Loire,"867,763","905,372","732,903","446,642","193,077","3,145,757"
93,Provence-Alpes-Côte d'Azur,"1,071,540","1,225,703","1,092,549","689,554","325,966","4,405,312"
